Unique ID;Player;Best Position;Age;Division;Salary;Transfer Value;Preferred Foot;Height;Starts;Minutes;Rating;Goals;xG-OP;xG;NP-xG/90;Penalties Taken;Penalties Scored;xG/shot;Free Kick Shots;Shots From Outside The Box Per 90 minutes;Goals From Outside The Box;Shots;Shots on Target;Headers Attempted;Headers Won;Key Headers per 90;Crosses Attempted;Crosses Completed;Open Play Crosses Attempted;Open Play Crosses Completed;Mistakes Leading to Goals;Distance;Sprints/90;Dribbles;Fouls Against;Off;Assists;xA;Chances Created per 90;Clear Cut Chances Created;Key Passes;Open Play Key Passes per 90;Passes Attempted;Passes Completed;PsP;Possession Lost per 90;Blk;Clearances;Interceptions;Key Tackles;Possession Won per 90;Pres A;Pres C;Shts Blckd;Tackled Completed;Tackles Attempted;Fouls Made;Yellow Cards;Red cards
20046423;Brenden Aaronson;AM (C);25;Premier League;R$1.43M p/m;R$32M;Right-Footed;1.77 m;19;1865;6.50;1;-0.37;1.37;0.1;0;0;0.105384615384615;0;0.2;0;13;6;11;2;0.0;9;1;9;1;0;23.8km;2.0;6;15;0;3;2.13;0.1;2;4;0.2;124;109;8;18.0;0;0;4;0;8.1;26;5;0;4;4;1;1;0
2000037579;Paxten Aaronson;AM (C);22;TAFL Yugoiztochna Liga;R$1.01M p/m;R$62M - R$82M;Right-Footed;1.75 m;18;1438;6.93;5;0.95;4.05;0.3;0;0;0.130645161290323;1;0.6;1;31;14;30;8;0.0;16;6;16;6;0;186.1km;9.9;17;9;4;3;2.93;0.3;5;35;2.1;719;647;54;14.3;3;4;21;1;13.8;79;20;0;12;16;12;1;0
222731;Thelo Aasgaard;AM (C);24;Qatar Stars League;R$480K p/m;R$3.25M - R$32M;Right-Footed;1.85 m;13;1368;6.78;3;0.1;2.9;0.2;0;0;0.107407407407407;2;0.3;1;27;15;69;17;0.1;17;6;17;6;0;177.2km;11.4;23;11;3;2;5.16;0.5;7;24;1.6;612;543;43;18.8;2;7;27;0;10.1;81;22;0;11;17;4;0;0
2000120253;Lukijan Abadžija;AM (C);22;Vodacom Premier League;R$7K p/m;R$550K - R$1.9M;Right-Footed;1.82 m;10;1119;6.90;8;4.1;3.9;0.3;0;0;0.114705882352941;2;1.0;1;34;17;84;20;0.0;9;1;9;1;0;144.6km;10.2;9;8;7;4;1.23;0.1;1;17;1.4;465;411;17;16.1;0;2;13;0;9.1;49;16;0;6;7;11;0;0
2000009018;Magomed Abakarov;AM (C);25;2-FNL A Gold;R$33K p/m;R$140K - R$1.5M;Right-Footed Only;1.80 m;14;1831;6.67;4;-5.3;9.3;0.5;1;1;0.119230769230769;0;1.1;3;78;29;103;39;0.2;23;4;16;4;0;208.3km;5.9;17;9;1;1;5.06;0.4;8;25;1.2;790;684;38;13.0;2;6;28;0;13.6;72;19;0;12;12;10;0;0
2000111471;Matías Abaldo;AM (C);22;Liga Profesional;R$65K p/m;R$800K - R$8M;Right-Footed;1.72 m;17;1253;6.69;1;-0.96;1.96;0.1;1;1;0.245;0;0.0;0;8;2;43;8;0.1;44;14;29;11;0;160.2km;11.4;52;17;5;0;0.33;0.1;1;22;1.6;585;532;41;20.9;3;7;34;0;3.7;119;27;0;18;23;20;2;1
14032587;Alfredo Ábalos;AM (C);40;Liga de Ascenso;R$4.5K p/m;R$0 - R$15K;Right-Footed;1.68 m;13;1218;6.81;2;-0.16;2.16;0.2;0;0;0.0939130434782609;0;0.1;0;23;7;57;15;0.0;54;11;54;11;0;159.7km;10.3;39;15;5;2;1.89;0.7;9;38;1.6;606;551;49;16.4;3;11;17;0;6.3;127;18;0;9;11;9;0;0
2000113903;Fadl Abaza;AM (C);27;Second Div. B - Group 4;R$18K p/m;R$0 - R$15K;Right-Footed;1.63 m;26;1964;6.47;2;0.72;1.28;0.1;0;0;0.0673684210526316;0;0.3;0;19;3;3;1;0.0;229;33;2;0;0;5.3km;0.2;1;24;0;1;2.34;0.1;3;1;0.0;40;33;1;15.4;1;0;3;0;8.4;2;0;0;2;2;3;2;0
2000135158;Mohammed Abbas;AM (C);23;UAE Pro League;R$510K p/m;R$7.5M - R$74M;Right-Footed;1.74 m;24;1857;6.91;4;0.85;3.15;0.2;0;0;0.101612903225806;0;0.3;0;31;11;48;12;0.0;63;13;63;13;0;174.1km;11.7;43;20;3;3;3.05;0.1;2;36;1.7;707;625;61;20.5;2;12;26;1;5.8;151;43;0;28;36;15;2;0
28122344;Jed Abbey;AM (RC);24;National League North;R$18K p/m;R$0 - R$25K;Right-Footed;1.91 m;11;1216;6.82;4;1.74;2.26;0.2;0;0;0.118947368421053;0;0.3;0;19;13;51;24;0.1;106;21;106;21;0;146.3km;12.0;45;7;2;2;1.1;0.4;6;16;1.2;552;487;26;18.4;3;7;26;0;3.6;124;18;0;12;13;11;2;0
